Delegacia,Ano,Mês,Total de Ocorrências
DEL.POL.ILHA COMPRIDA,2022,Abril,5
DEL.POL.ILHA COMPRIDA,2021,Maio,4
DEL.POL.ILHABELA,2023,Maio,4
DEL.POL.ILHABELA,2021,Junho,4
DEL.POL.ILHABELA,2023,Julho,4
DIIMA - 02ª DEL.POL.,2021,Julho,4
DIIMA - 01ª DEL.POL.,2019,Abril,4
DEL.INV.M.AMB.GUARULHOS,2019,Fevereiro,4
DEL.INV.M.AMB.TABOAO SERRA,2022,Fevereiro,4
DIIMA - 02ª DEL.POL.,2023,Abril,4
DEL.INV.M.AMB.TABOAO SERRA,2023,Abril,4
DEL.INV.M.AMB.GUARULHOS,2020,Junho,4
DEL.INV.M.AMB.CARAPICUIBA,2020,Junho,4
DIIMA - 01ª DEL.POL.,2019,Janeiro,4
DIIMA - 02ª DEL.POL.,2021,Abril,4
DEL.INV.M.AMB.TABOAO SERRA,2019,Janeiro,4
DIIMA - 01ª DEL.POL.,2023,Maio,4
DIIMA - 01ª DEL.POL.,2022,Maio,4
DIIMA - 01ª DEL.POL.,2022,Fevereiro,4
DIIMA - 01ª DEL.POL.,2020,Fevereiro,4
DIIMA - 01ª DEL.POL.,2020,Abril,4
DIIMA - 01ª DEL.POL.,2019,Maio,4
DEL.INV.M.AMB.GUARULHOS,2021,Maio,4
DIIMA - 02ª DEL.POL.,2023,Julho,4
DEL.INV.M.AMB.TABOAO SERRA,2023,Maio,4
DEL.POL.UBATUBA,2021,Abril,4
DEL.INV.M.AMB.CARAPICUIBA,2019,Junho,4
DEL.INV.M.AMB.CARAPICUIBA,2019,Março,4
DEL.INV.M.AMB.CARAPICUIBA,2020,Fevereiro,4
DEL.INV.M.AMB.CARAPICUIBA,2020,Julho,3
DEL.POL.IGUAPE,2021,Julho,3
DEL.INV.M.AMB.TABOAO SERRA,2022,Janeiro,3
DEL.POL.IGUAPE,2021,Maio,3
DEL.POL.IGUAPE,2022,Fevereiro,3
DEL.INV.M.AMB.CARAPICUIBA,2022,Julho,3
DEL.POL.IGUAPE,2023,Fevereiro,3
